
VVCSoftware: VTM Encoder Version 23.14 [Linux][GCC 11.5.0][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:1 HAD:1 RDQ:1 RDQTS:1 LQP:0 SQP:0 ASR:1 MinSearchWindow:96 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPS 8 AlfapsIDShift 0 ConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:1 SbTMVP:1 DualITree:1 IMV:1 BIO:1 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:1 CompositeLTReference:0 Bcw:1 BcwFast:1 LADF:0 CIIP:1 Geo:1 AllowDisFracMMVD:1 AffineAmvr:1 AffineAmvrEncOpt:1 AffineAmvp:1 DMVR:1 MmvdDisNum:6 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:6) MRL:1 MIP:1 EncDbOpt:1 AlfLambdaOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 MaxMergeRdCandNumTotal:7 MergeRdCandQuotaRegular:4 MergeRdCandQuotaRegularSmallBlk:4 MergeRdCandQuotaSubBlk:2 MergeRdCandQuotaCiip:1 MergeRdCandQuotaGpm:8 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:0 FastLFNST:0 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:0 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:1 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 SEI FGC:0 SEI processing Order:0 DPF:0 


 started @ Wed Mar  4 15:43:35 2026
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 29 )     211248 bits [Y 45.1907 dB    U 48.8764 dB    V 47.5646 dB] [ET    69 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 29 )     199600 bits [Y 45.5425 dB    U 49.7556 dB    V 48.8661 dB] [ET    68 ] [L0] [L1]
POC   16 LId:  0 TId: 1 ( RASL, B-SLICE, QP 34 )      31400 bits [Y 43.0876 dB    U 49.5717 dB    V 48.2725 dB] [ET    78 ] [L0 0 32] [L1 32c]
POC    8 LId:  0 TId: 2 ( RASL, B-SLICE, QP 35 )      17080 bits [Y 43.2818 dB    U 49.7109 dB    V 48.8291 dB] [ET    53 ] [L0 0 16 32] [L1 16c 32]
POC    4 LId:  0 TId: 3 ( RASL, B-SLICE, QP 38 )       6304 bits [Y 43.4546 dB    U 49.8252 dB    V 48.8997 dB] [ET    30 ] [L0 0 8 16] [L1 8c 16 32]
POC    2 LId:  0 TId: 4 ( RASL, B-SLICE, QP 40 )       2992 bits [Y 43.7390 dB    U 49.6254 dB    V 48.8507 dB] [ET    20 ] [L0 0 4 8] [L1 4c 8 16 32]
POC    1 LId:  0 TId: 5 ( RASL, B-SLICE, QP 41 )       1072 bits [Y 44.3475 dB    U 49.5025 dB    V 48.5971 dB] [ET     9 ] [L0 0] [L1 2c 4]
POC    3 LId:  0 TId: 5 ( RASL, B-SLICE, QP 41 )       1280 bits [Y 43.5349 dB    U 49.7524 dB    V 48.8920 dB] [ET    10 ] [L0 2c 0] [L1 4 8]
POC    6 LId:  0 TId: 4 ( RASL, B-SLICE, QP 40 )       2544 bits [Y 43.4112 dB    U 49.9426 dB    V 49.1071 dB] [ET    18 ] [L0 4c 2 0] [L1 8 16 32]
POC    5 LId:  0 TId: 5 ( RASL, B-SLICE, QP 41 )       1872 bits [Y 42.4667 dB    U 49.8065 dB    V 48.8792 dB] [ET    13 ] [L0 4 0] [L1 6c 8]
POC    7 LId:  0 TId: 5 ( RASL, B-SLICE, QP 41 )       1360 bits [Y 42.5219 dB    U 49.8262 dB    V 48.9437 dB] [ET    13 ] [L0 6c 4] [L1 8 16]
POC   12 LId:  0 TId: 3 ( RASL, B-SLICE, QP 38 )       5136 bits [Y 42.5688 dB    U 49.6928 dB    V 48.7345 dB] [ET    27 ] [L0 8c 4 0] [L1 16 32]
POC   10 LId:  0 TId: 4 ( RASL, B-SLICE, QP 40 )       1544 bits [Y 42.3058 dB    U 49.7936 dB    V 48.8637 dB] [ET    18 ] [L0 8 6 4 0] [L1 12c 16 32]
POC    9 LId:  0 TId: 5 ( RASL, B-SLICE, QP 41 )       1696 bits [Y 42.9695 dB    U 49.8998 dB    V 48.9532 dB] [ET    11 ] [L0 8 4] [L1 10c 12]
