bucket,rank,name,bits,ratio_vs_bucket,ratio_vs_total,ratio_vs_cabac,line_no
merge_skip,1,CABAC_BITS__MERGE_INDEX,190010,0.56222630,0.05078787,0.05158999,614
merge_skip,2,CABAC_BITS__SKIP_FLAG,71361,0.21115221,0.01907412,0.01937537,612
merge_skip,3,CABAC_BITS__MERGE_FLAG,70386,0.20826725,0.01881351,0.01911064,613
merge_skip,4,CABAC_BITS__SYMMVD_FLAG,6203,0.01835424,0.00165800,0.00168419,1611
motion,1,CABAC_BITS__MVD,66626,0.25653011,0.01780850,0.01808976,718
motion,2,CABAC_BITS__MVD_EP,60483,0.23287771,0.01616653,0.01642186,719
motion,3,CABAC_BITS__AFFINE_FLAG,50394,0.19403203,0.01346984,0.01368257,720
motion,4,CABAC_BITS__MULTI_REF_LINE,24280,0.09348529,0.00648981,0.00659231,1610
motion,5,CABAC_BITS__MVP_IDX,21169,0.08150701,0.00565827,0.00574764,615
motion,6,CABAC_BITS__INTER_DIR,16301,0.06276375,0.00435710,0.00442592,716
motion,7,CABAC_BITS__BCW_IDX,10812,0.04162945,0.00288994,0.00293559,1606
motion,8,CABAC_BITS__REF_FRM_IDX,9655,0.03717465,0.00258069,0.00262145,717
residual,1,CABAC_BITS__SIGN_BIT,588740,0.25308489,0.15736460,0.15984995,1416
residual,2,CABAC_BITS__GT1_FLAG,416528,0.17905518,0.11133397,0.11309233,1257
residual,3,CABAC_BITS__SIG_COEFF_MAP_FLAG,405620,0.17436609,0.10841837,0.11013068,1098
residual,4,CABAC_BITS__LAST_SIG_X_Y,331802,0.14263355,0.08868752,0.09008821,977
residual,5,CABAC_BITS__PAR_FLAG,169729,0.07296234,0.04536695,0.04608345,1174
residual,6,CABAC_BITS__GT2_FLAG,122434,0.05263138,0.03272544,0.03324230,1333
residual,7,CABAC_BITS__ESCAPE_BITS,104690,0.04500366,0.02798264,0.02842459,1488
residual,8,CABAC_BITS__QT_CBF,86435,0.03715629,0.02310325,0.02346814,810
residual,9,CABAC_BITS__LFNST,45038,0.01936073,0.01203823,0.01222836,1601
residual,10,CABAC_BITS__MTS_FLAGS,24408,0.01049240,0.00652403,0.00662706,894
inloop,1,CABAC_BITS__ALF,12430,0.79435072,0.00332242,0.00337489,1602
inloop,2,CABAC_BITS__SAO,3218,0.20564928,0.00086014,0.00087373,1600
other_syntax,1,CABAC_BITS__SPLIT_FLAG,336121,0.47213310,0.08984195,0.09126087,658
other_syntax,2,CABAC_BITS__INTRA_DIR_ANG,188147,0.26428110,0.05028990,0.05108416,715
other_syntax,3,CABAC_BITS__OTHER,95350,0.13393359,0.02548615,0.02588867,1605
other_syntax,4,CABAC_BITS__GEO_INDEX,35403,0.04972890,0.00946289,0.00961234,1609
other_syntax,5,CABAC_BITS__ISP_MODE_FLAG,29179,0.04098635,0.00779927,0.00792245,721
other_syntax,6,CABAC_BITS__SBT_MODE,16169,0.02271182,0.00432182,0.00439008,1607
other_syntax,7,CABAC_BITS__ISP_SPLIT_FLAG,6837,0.00960361,0.00182747,0.00185633,722
other_syntax,8,CABAC_BITS__PRED_MODE,3786,0.00531801,0.00101196,0.00102794,670
other_syntax,9,CABAC_BITS__MH_INTRA_FLAG,672,0.00094393,0.00017962,0.00018246,1608
other_syntax,10,CABAC_BITS__MODE_CONSTRAINT_FLAG,256,0.00035959,0.00006843,0.00006951,669
